_id,firstName,lastName,email,password,__v
66f90f55f30e8f46a36227a2,tim,smith,tim@gmail.com,12341234,0
66f90fc8f30e8f46a36227a8,john,smith,john@gmail.com,12341234,0
66f910e7f30e8f46a36227ae,kusal,aweewr,kusal@gmail.com,12341234,0
6700d874ed3a4f57e6a9360a,Sudharaka,Fernando,sudharaka@gmail.com,abc123abc,0
67016794ed3a4f57e6a93613,Sudharaka,Fernando,jayanath@gmail.com,abcd1234,0
670193c14c36943d55145193,Rusiru,Gunaratne,info.rusiru@gmail.com,12345678,0
6701b333f3854c483f8d5a6b,Rusiru,Gunaratne,rrr@rrr.com,qwertyui,0
6701b49e5605b9a1e6acb9b6,Rusiru,Gunaratne,abn@abn.com,qwertyuio,0
6701b55392dabb31b614d106,qwe,qwe,qwe@vbn.com,wweewdwedewdew,0
67147fd76fa4981c6b333c1c,max,ten,max1@gmail.com,12341234,0
671480e00746172b0cd7432a,max,ten,max@gmail.com,12341234,0
671485950c1adfd6cc8bdc7f,flex,carry,fle1x@gmail.com,12341234,0
6714871aeb5585a6139bfe70,flex,carry,flewwx@gmail.com,12341234,0
67148aef452804fa55ed90b5,alexa,bale,dfalexa@gmail.com,12341234,0
67148d6e7d451458757cc2bc,alexa,bale,alexa@gmail.com,12341234,0
67149fce201661be57c82b33,olive,marry,olie@gmail.com,12341234,0
6714ab333cce69b6334131b0,tim,nirmal,timnirmal@gmail.com,123456789,0
